seconds,mos_pred_concat,mos_target_concat_durw
18.325187,3.150607,2.875
22.969187,3.303418,3.203549
36.869312,2.9842,2.844051
38.378625,3.0268,2.919006
49.758812,2.966855,2.93753
56.179125,3.106509,3.130379
74.939312,3.029052,3.254201
79.467187,3.08462,3.303818
95.717312,2.999544,3.188573
100.895375,3.031171,3.249462
107.065437,3.015834,3.206271
111.999687,3.061819,3.257761
132.449875,3.049512,3.217963
141.308312,3.128194,3.274824
148.063375,3.132213,3.25088
157.653188,3.189972,3.342069
170.883312,3.14648,3.315585
172.613187,3.155822,3.326203
186.858375,2.998757,3.234629
191.653312,2.996104,3.235013
