elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
18.325187,3.150607,2.875
22.969187,3.44013,3.203549
36.869312,3.215663,2.844051
38.378625,3.26629,2.919006
49.758812,3.162413,2.93753
56.179125,3.310509,3.130379
74.939312,3.236101,3.254201
79.467187,3.298373,3.303818
95.717312,3.191476,3.188573
100.895375,3.229566,3.249462
107.065437,3.218073,3.206271
111.999687,3.267092,3.257761
132.449875,3.252852,3.217963
141.308312,3.324164,3.274824
148.063375,3.329288,3.25088
157.653188,3.388903,3.342069
170.883312,3.358348,3.315585
172.613187,3.370366,3.326203
186.858375,3.314274,3.234629
191.653312,3.322309,3.235013
