seconds,mos_pred_concat,mos_target_concat_durw
18.325187,3.126197,2.875
22.969187,3.321993,3.203549
36.869312,3.007648,2.844051
38.378625,3.03124,2.919006
49.758812,2.985126,2.93753
56.179125,3.129313,3.130379
74.939312,3.061673,3.254201
79.467187,3.116115,3.303818
95.717312,3.018637,3.188573
100.895375,3.064807,3.249462
107.065437,3.044511,3.206271
111.999687,3.091892,3.257761
132.449875,3.066347,3.217963
141.308312,3.158539,3.274824
148.063375,3.15874,3.25088
157.653188,3.219882,3.342069
170.883312,3.187651,3.315585
172.613187,3.195059,3.326203
186.858375,3.093055,3.234629
191.653312,3.083546,3.235013
