block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,4.527185,4.25,5.0,1,5.0
5.0,10.0,7.5,4.528892,4.209403,5.0,2,5.0
10.0,15.0,12.5,3.182187,2.875,5.0,1,5.0
15.0,20.0,17.5,2.999133,3.40005,5.0,2,5.0
20.0,25.0,22.5,3.209897,2.680063,5.0,2,5.0
25.0,30.0,27.5,2.823795,2.375,5.0,1,5.0
30.0,35.0,32.5,3.168928,2.961566,5.0,2,5.0
35.0,40.0,37.5,4.279191,4.75,5.0,1,5.0
40.0,45.0,42.5,3.647097,3.488609,5.0,2,5.0
45.0,50.0,47.5,2.824036,3.375,5.0,1,5.0
50.0,55.0,52.5,3.82179,4.129375,5.0,2,5.0
55.0,60.0,57.5,4.123628,4.002438,5.0,2,5.0
60.0,65.0,62.5,2.740267,3.74375,5.0,2,5.0
65.0,70.0,67.5,4.545641,4.457612,5.0,2,5.0
70.0,75.0,72.5,2.910767,2.875,5.0,1,5.0
75.0,80.0,77.5,3.227722,2.875,5.0,1,5.0
80.0,85.0,82.5,3.283075,3.289769,5.0,2,5.0
85.0,90.0,87.5,3.930333,3.853044,5.0,2,5.0
90.0,95.0,92.5,3.138063,3.125,5.0,1,5.0
95.0,100.0,97.5,3.185612,3.125,5.0,1,5.0
100.0,105.0,102.5,4.138443,4.087294,5.0,2,5.0
105.0,110.0,107.5,4.01838,3.981361,5.0,2,5.0
110.0,115.0,112.5,3.775336,3.600014,5.0,2,5.0
115.0,120.0,117.5,3.916416,4.318425,5.0,2,5.0
120.0,125.0,122.5,3.042992,3.5,5.0,1,5.0
125.0,130.0,127.5,2.748575,3.5,5.0,1,5.0
130.0,135.0,132.5,3.367477,3.684181,5.0,2,5.0
135.0,140.0,137.5,4.034606,4.092086,5.0,2,5.0
140.0,145.0,142.5,3.493939,3.661083,5.0,2,5.0
145.0,150.0,147.5,4.365811,3.75,5.0,1,5.0
150.0,155.0,152.5,2.987439,3.628956,5.0,2,5.0
155.0,160.0,157.5,3.238422,3.625,5.0,1,5.0
160.0,165.0,162.5,4.548219,4.246469,5.0,2,5.0
165.0,170.0,167.5,4.513538,4.223141,5.0,2,5.0
170.0,175.0,172.5,3.172326,3.125,5.0,1,5.0
175.0,180.0,177.5,3.273767,3.277031,5.0,2,5.0
180.0,181.488375,180.744188,4.669505,4.875,1.488375,1,5.0
