elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
9.147687,3.065592,3.5
23.392875,2.793133,2.662688
34.237625,2.838669,2.927906
47.46775,2.832722,2.948
53.181188,2.899226,2.993874
59.93625,2.977995,2.966389
75.21325,2.977042,2.973216
95.663438,3.055398,2.978941
100.343688,3.051314,3.009075
106.51375,3.047055,2.979586
120.666562,3.042561,3.011302
136.916687,2.985609,2.965453
150.734437,2.961708,2.934244
169.494625,2.950232,3.010699
175.721187,2.981955,3.001461
187.101375,2.980185,3.001373
