seconds,mos_pred_concat,mos_target_concat_durw
9.685,3.235903,3.125
14.4915,3.375854,3.498137
24.3615,3.140711,3.549535
28.81975,3.1306,3.715903
33.63975,3.123832,3.702878
42.03375,3.249564,3.862061
56.71375,2.998984,3.768344
66.535812,3.082382,3.931709
70.900812,3.044897,3.866653
75.660875,3.083308,3.898635
88.925875,2.960014,3.783232
97.552062,3.011213,3.83556
111.522062,2.874497,3.715234
113.878875,2.884608,3.713367
120.768875,2.794706,3.708325
128.4895,2.791265,3.748384
139.3045,2.669822,3.719396
147.768187,2.707411,3.749787
160.923187,2.651725,3.637403
165.729687,2.696768,3.655169
174.564687,2.667251,3.615683
179.022937,2.675192,3.640819
190.432937,2.669967,3.617402
