block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,4.541513,4.125,5.0,1,5.0
5.0,10.0,7.5,3.20672,3.055937,5.0,2,5.0
10.0,15.0,12.5,2.949587,2.908094,5.0,2,5.0
15.0,20.0,17.5,3.120277,3.233842,5.0,2,5.0
20.0,25.0,22.5,2.700019,3.125,5.0,1,5.0
25.0,30.0,27.5,2.961873,3.125,5.0,1,5.0
30.0,35.0,32.5,2.932095,3.005934,5.0,2,5.0
35.0,40.0,37.5,3.030343,2.875,5.0,1,5.0
40.0,45.0,42.5,3.163535,2.875,5.0,1,5.0
45.0,50.0,47.5,3.297441,3.386697,5.0,2,5.0
50.0,55.0,52.5,2.622953,3.625,5.0,2,5.0
55.0,60.0,57.5,3.083191,3.625,5.0,1,5.0
60.0,65.0,62.5,3.27096,3.872697,5.0,2,5.0
65.0,70.0,67.5,2.858938,4.043519,5.0,2,5.0
70.0,75.0,72.5,3.157219,3.25,5.0,1,5.0
75.0,80.0,77.5,3.371228,3.261069,5.0,2,5.0
80.0,85.0,82.5,4.356442,4.125,5.0,1,5.0
85.0,90.0,87.5,3.895285,4.004519,5.0,2,5.0
90.0,95.0,92.5,3.008181,3.417278,5.0,2,5.0
95.0,100.0,97.5,3.035313,2.975991,5.0,2,5.0
100.0,105.0,102.5,3.012759,3.125,5.0,1,5.0
105.0,110.0,107.5,3.142991,3.300111,5.0,2,5.0
110.0,115.0,112.5,2.720055,3.5,5.0,1,5.0
115.0,120.0,117.5,2.816066,3.5,5.0,1,5.0
120.0,125.0,122.5,3.564978,3.300889,5.0,2,5.0
125.0,130.0,127.5,4.120254,3.136222,5.0,2,5.0
130.0,135.0,132.5,3.404815,3.375,5.0,1,5.0
135.0,140.0,137.5,3.188647,3.375,5.0,1,5.0
140.0,145.0,142.5,3.550326,4.256887,5.0,2,5.0
145.0,150.0,147.5,4.201978,4.598759,5.0,2,5.0
150.0,155.0,152.5,3.324303,3.250306,5.0,2,5.0
155.0,160.0,157.5,2.619993,2.375,5.0,1,5.0
160.0,165.0,162.5,3.07814,2.375,5.0,1,5.0
165.0,170.0,167.5,4.477886,4.489666,5.0,4,5.0
170.0,175.0,172.5,3.85697,4.348748,5.0,2,5.0
175.0,180.0,177.5,4.349301,4.436102,5.0,2,5.0
180.0,185.0,182.5,3.787873,4.75,5.0,1,5.0
185.0,187.101,186.0505,3.387115,4.75,2.101,1,5.0
