elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
4.45825,4.610172,4.625
12.961062,3.474093,3.558955
17.767562,3.627274,3.745898
31.30125,3.431255,3.639579
39.764937,3.550321,3.769503
50.786,3.475525,3.711018
58.506625,3.570354,3.798638
64.733187,3.59446,3.697772
67.09,3.607885,3.695215
80.90775,3.452834,3.51244
89.533937,3.539346,3.595543
103.68675,3.455509,3.548378
108.446812,3.492007,3.584661
113.127062,3.46965,3.58633
122.949125,3.544252,3.689278
138.226125,3.474735,3.613098
146.620125,3.530798,3.663873
152.333562,3.532349,3.653039
156.791812,3.562996,3.680676
167.636562,3.519138,3.668987
172.443062,3.533665,3.685182
181.59075,3.508512,3.675853
