block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,4.163608,4.375,5.0,1,5.0
5.0,10.0,7.5,4.405171,4.443691,5.0,2,5.0
10.0,15.0,12.5,2.847324,4.625,5.0,1,5.0
15.0,20.0,17.5,4.289284,4.443503,5.0,2,5.0
20.0,25.0,22.5,4.005234,4.181506,5.0,2,5.0
25.0,30.0,27.5,4.328435,4.125,5.0,1,5.0
30.0,35.0,32.5,4.09936,4.847109,5.0,2,5.0
35.0,40.0,37.5,4.416765,4.875,5.0,1,5.0
40.0,45.0,42.5,4.445809,4.262016,5.0,3,5.0
45.0,50.0,47.5,4.385432,4.5,5.0,1,5.0
50.0,55.0,52.5,4.273831,3.997764,5.0,2,5.0
55.0,60.0,57.5,4.100463,3.125,5.0,1,5.0
60.0,65.0,62.5,4.477704,4.443781,5.0,2,5.0
65.0,70.0,67.5,4.512709,4.131231,5.0,2,5.0
70.0,75.0,72.5,4.056837,4.230348,5.0,2,5.0
75.0,80.0,77.5,4.50415,4.470372,5.0,2,5.0
80.0,85.0,82.5,3.705025,4.261828,5.0,2,5.0
85.0,90.0,87.5,3.792355,4.379975,5.0,2,5.0
90.0,95.0,92.5,4.157836,4.390717,5.0,2,5.0
95.0,100.0,97.5,3.559956,4.478491,5.0,2,5.0
100.0,105.0,102.5,4.272959,4.4951,5.0,2,5.0
105.0,110.0,107.5,3.757065,3.954269,5.0,2,5.0
110.0,115.0,112.5,4.365896,4.313241,5.0,2,5.0
115.0,120.0,117.5,4.445741,4.375,5.0,2,5.0
120.0,125.0,122.5,3.972209,4.375,5.0,1,5.0
125.0,130.0,127.5,4.157979,4.375,5.0,3,5.0
130.0,135.0,132.5,4.325137,4.401625,5.0,2,5.0
135.0,140.0,137.5,4.248471,4.875,5.0,1,5.0
140.0,145.0,142.5,4.152976,4.808372,5.0,2,5.0
145.0,150.0,147.5,4.358923,4.125,5.0,1,5.0
150.0,155.0,152.5,4.325655,4.243931,5.0,2,5.0
155.0,160.0,157.5,2.973135,4.5,5.0,1,5.0
160.0,165.0,162.5,4.437823,4.659588,5.0,2,5.0
165.0,170.0,167.5,4.09839,4.75,5.0,1,5.0
170.0,175.0,172.5,4.11764,4.659952,5.0,2,5.0
175.0,180.0,177.5,4.410198,4.35747,5.0,3,5.0
180.0,185.0,182.5,4.31801,3.728538,5.0,2,5.0
185.0,187.187625,186.093813,4.316887,3.25,2.187625,1,5.0
