seconds,mos_pred_concat,mos_target_concat_durw
13.81775,2.704342,2.625
20.70775,2.724592,2.957726
33.97275,2.732673,3.02304
48.125563,2.759472,3.089784
62.805563,2.72468,3.185667
72.490562,2.718815,3.177562
86.02425,2.745836,3.228289
90.84425,2.747494,3.249338
101.865312,2.77052,3.276457
117.142312,2.740526,3.240403
127.987062,2.749018,3.2624
133.7005,2.755552,3.267212
142.848187,2.744574,3.282119
152.718187,2.746975,3.304279
158.94475,2.745085,3.282565
163.625,2.748664,3.29236
177.595,2.726732,3.25953
188.41,2.733863,3.266158
192.775,2.734712,3.257301
