block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,3.878754,3.375,5.0,1,5.0
5.0,10.0,7.5,2.710747,3.589328,5.0,2,5.0
10.0,15.0,12.5,3.116695,3.625,5.0,1,5.0
15.0,20.0,17.5,3.110408,3.625,5.0,1,5.0
20.0,25.0,22.5,3.084465,3.532884,5.0,2,5.0
25.0,30.0,27.5,3.492264,2.75,5.0,1,5.0
30.0,35.0,32.5,2.606752,2.938566,5.0,2,5.0
35.0,40.0,37.5,3.149783,3.0,5.0,1,5.0
40.0,45.0,42.5,3.396969,3.0,5.0,2,5.0
45.0,50.0,47.5,3.368934,3.0,5.0,1,5.0
50.0,55.0,52.5,2.921823,3.0,5.0,1,5.0
55.0,60.0,57.5,2.859545,3.0,5.0,1,5.0
60.0,65.0,62.5,2.927719,3.242617,5.0,2,5.0
65.0,70.0,67.5,3.376541,3.568483,5.0,2,5.0
70.0,75.0,72.5,2.937994,3.5,5.0,1,5.0
75.0,80.0,77.5,3.013788,3.252211,5.0,2,5.0
80.0,85.0,82.5,2.565867,2.625,5.0,1,5.0
85.0,90.0,87.5,2.860229,2.625,5.0,1,5.0
90.0,95.0,92.5,2.965159,2.689955,5.0,2,5.0
95.0,100.0,97.5,3.172062,2.818581,5.0,2,5.0
100.0,105.0,102.5,3.217969,3.0,5.0,1,5.0
105.0,110.0,107.5,3.086388,3.0,5.0,1,5.0
110.0,115.0,112.5,2.520346,2.764387,5.0,2,5.0
115.0,120.0,117.5,3.393522,2.625,5.0,1,5.0
120.0,125.0,122.5,2.939209,2.625,5.0,1,5.0
125.0,130.0,127.5,2.491677,2.861422,5.0,2,5.0
130.0,135.0,132.5,3.329918,3.25,5.0,1,5.0
135.0,140.0,137.5,3.229895,3.25,5.0,1,5.0
140.0,145.0,142.5,3.448346,2.633823,5.0,2,5.0
145.0,150.0,147.5,2.428948,2.125,5.0,1,5.0
150.0,155.0,152.5,2.341753,2.125,5.0,1,5.0
155.0,160.0,157.5,2.750284,2.736341,5.0,2,5.0
160.0,165.0,162.5,2.964527,3.0,5.0,1,5.0
165.0,170.0,167.5,3.281237,3.0,5.0,1,5.0
170.0,175.0,172.5,2.867493,2.678362,5.0,2,5.0
175.0,180.0,177.5,3.395051,2.909263,5.0,2,5.0
180.0,185.0,182.5,3.175922,3.5,5.0,1,5.0
185.0,187.101375,186.050687,2.607665,3.5,2.101375,1,5.0
