elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
8.835,3.198599,2.875
23.515,2.960691,3.265176
33.104813,3.340686,3.695301
46.259813,3.22529,3.319844
50.787688,3.324354,3.391626
61.602688,3.34263,3.388707
66.246688,3.425137,3.466611
79.511688,3.360099,3.409619
89.381688,3.317644,3.433403
95.105438,3.389373,3.475025
100.039688,3.435277,3.519415
114.009688,3.387189,3.440452
120.43,3.448672,3.503603
125.25,3.449223,3.508274
129.615,3.440376,3.486948
131.124313,3.45042,3.501486
138.014312,3.434509,3.507652
145.444687,3.467783,3.488104
156.854687,3.451813,3.470783
161.649625,3.47091,3.464234
166.827687,3.477004,3.492503
175.686125,3.521706,3.524395
185.371125,3.509312,3.503528
187.101,3.515682,3.511585
