seconds,mos_pred_concat,mos_target_concat_durw
6.170063,3.177833,2.5
13.060063,3.094706,3.093508
26.290188,2.948225,3.046452
42.540312,2.841978,2.88546
52.225313,2.825162,2.929882
66.4705,2.666087,2.757389
80.4405,2.581061,2.777814
87.195562,2.597073,2.775659
92.015562,2.596521,2.82015
110.77575,2.642873,2.956454
122.155937,2.655527,2.96051
132.025937,2.660778,3.010186
136.390938,2.657162,3.00586
149.655937,2.666194,3.01642
170.106125,2.71432,3.014446
184.786125,2.718513,3.05302
