seconds,mos_pred_concat,mos_target_concat_durw
1.92275,4.684026,4.875
11.60775,3.485134,3.414876
21.460125,3.894293,3.798283
31.330125,3.710003,3.743693
37.931688,3.797653,3.744791
42.751688,3.843652,3.731285
47.71625,3.858238,3.785254
62.39625,3.724345,3.718142
68.719188,3.743549,3.790082
73.084187,3.756063,3.735428
79.987625,3.804636,3.801415
93.252625,3.756423,3.705197
97.996625,3.748183,3.73157
111.966625,3.676204,3.624697
117.082125,3.699844,3.668402
123.972125,3.649824,3.665989
130.26025,3.681261,3.700216
141.07525,3.662844,3.675284
147.72325,3.679148,3.72365
160.87825,3.664178,3.613371
162.801,3.658829,3.628271
171.636,3.631544,3.589497
181.488375,3.678439,3.625353
