elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
10.84475,2.957823,3.5
27.094875,2.550761,2.97522
38.475062,2.656257,2.982549
44.1885,2.749605,3.033292
64.638688,2.905298,3.022759
78.7915,2.873023,3.063577
85.546562,2.930548,3.038816
91.773125,2.993536,3.01922
96.453375,2.990719,3.048615
110.271125,2.987256,2.995533
123.50125,2.99706,2.996011
138.77825,2.985815,2.996451
147.925937,2.982852,3.02759
162.171125,2.95376,2.948306
168.341187,2.969207,2.931875
187.101375,2.984005,3.001373
