block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,3.303296,3.5,5.0,1,5.0
5.0,10.0,7.5,2.441266,3.5,5.0,1,5.0
10.0,15.0,12.5,2.482058,2.772831,5.0,2,5.0
15.0,20.0,17.5,1.847994,2.625,5.0,1,5.0
20.0,25.0,22.5,3.070708,2.625,5.0,1,5.0
25.0,30.0,27.5,2.485097,2.842884,5.0,2,5.0
30.0,35.0,32.5,2.444542,3.0,5.0,1,5.0
35.0,40.0,37.5,2.976581,3.11437,5.0,2,5.0
40.0,45.0,42.5,2.124753,3.314138,5.0,2,5.0
45.0,50.0,47.5,2.914282,3.0,5.0,1,5.0
50.0,55.0,52.5,3.119877,3.0,5.0,1,5.0
55.0,60.0,57.5,2.695071,3.0,5.0,1,5.0
60.0,65.0,62.5,2.875502,3.018066,5.0,2,5.0
65.0,70.0,67.5,2.212923,3.25,5.0,1,5.0
70.0,75.0,72.5,2.522255,3.25,5.0,1,5.0
75.0,80.0,77.5,2.461339,3.12915,5.0,2,5.0
80.0,85.0,82.5,3.451203,2.75,5.0,1,5.0
85.0,90.0,87.5,3.853093,2.75,5.0,2,5.0
90.0,95.0,92.5,2.657622,3.314703,5.0,2,5.0
95.0,100.0,97.5,2.351682,2.915675,5.0,2,5.0
100.0,105.0,102.5,2.110547,2.625,5.0,1,5.0
105.0,110.0,107.5,2.941954,2.625,5.0,1,5.0
110.0,115.0,112.5,2.827044,2.979666,5.0,2,5.0
115.0,120.0,117.5,1.719735,3.0,5.0,1,5.0
120.0,125.0,122.5,2.868428,3.0,5.0,2,5.0
125.0,130.0,127.5,3.180023,3.0,5.0,1,5.0
130.0,135.0,132.5,3.000256,3.0,5.0,1,5.0
135.0,140.0,137.5,3.095031,3.122175,5.0,2,5.0
140.0,145.0,142.5,3.237266,3.5,5.0,1,5.0
145.0,150.0,147.5,3.035036,2.929633,5.0,2,5.0
150.0,155.0,152.5,2.156388,2.125,5.0,1,5.0
155.0,160.0,157.5,2.008785,2.125,5.0,1,5.0
160.0,165.0,162.5,2.666543,2.337166,5.0,2,5.0
165.0,170.0,167.5,3.171314,2.873233,5.0,2,5.0
170.0,175.0,172.5,2.553458,3.625,5.0,1,5.0
175.0,180.0,177.5,2.570055,3.625,5.0,1,5.0
180.0,185.0,182.5,2.78023,3.625,5.0,1,5.0
185.0,187.101375,186.050687,3.245646,3.625,2.101375,1,5.0
