block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,4.805134,4.125,5.0,1,5.0
5.0,10.0,7.5,4.555958,4.552625,5.0,2,5.0
10.0,15.0,12.5,4.639612,4.553602,5.0,2,5.0
15.0,20.0,17.5,3.880735,3.45612,5.0,2,5.0
20.0,25.0,22.5,2.665967,2.875,5.0,2,5.0
25.0,30.0,27.5,3.122481,2.875,5.0,1,5.0
30.0,35.0,32.5,3.244214,2.875,5.0,1,5.0
35.0,40.0,37.5,3.51687,3.606541,5.0,2,5.0
40.0,45.0,42.5,3.018687,3.40098,5.0,2,5.0
45.0,50.0,47.5,3.268587,3.25,5.0,1,5.0
50.0,55.0,52.5,3.451726,3.525964,5.0,2,5.0
55.0,60.0,57.5,3.989819,3.920094,5.0,2,5.0
60.0,65.0,62.5,3.084461,3.625,5.0,1,5.0
65.0,70.0,67.5,3.592789,3.951859,5.0,2,5.0
70.0,75.0,72.5,4.27513,3.7747,5.0,2,5.0
75.0,80.0,77.5,2.986065,2.875,5.0,1,5.0
80.0,85.0,82.5,3.654454,3.8248,5.0,2,5.0
85.0,90.0,87.5,3.699641,3.0823,5.0,2,5.0
90.0,95.0,92.5,2.906946,2.375,5.0,1,5.0
95.0,100.0,97.5,3.243627,2.401863,5.0,2,5.0
100.0,105.0,102.5,4.496566,4.125,5.0,1,5.0
105.0,110.0,107.5,4.403853,4.277289,5.0,2,5.0
110.0,115.0,112.5,4.589416,4.75,5.0,2,5.0
115.0,120.0,117.5,4.421977,4.711264,5.0,2,5.0
120.0,125.0,122.5,3.981294,3.125,5.0,1,5.0
125.0,130.0,127.5,3.855116,3.326661,5.0,2,5.0
130.0,135.0,132.5,2.919722,3.5,5.0,1,5.0
135.0,140.0,137.5,2.793708,3.5,5.0,1,5.0
140.0,145.0,142.5,3.345002,3.349559,5.0,2,5.0
145.0,150.0,147.5,3.641161,3.169653,5.0,2,5.0
150.0,155.0,152.5,2.821058,3.125,5.0,1,5.0
155.0,160.0,157.5,3.482436,3.125,5.0,1,5.0
160.0,165.0,162.5,3.589246,3.639219,5.0,3,5.0
165.0,170.0,167.5,3.690899,3.52525,5.0,2,5.0
170.0,175.0,172.5,3.448922,3.125,5.0,1,5.0
175.0,180.0,177.5,3.628453,3.3107,5.0,2,5.0
180.0,185.0,182.5,3.236518,3.375,5.0,1,5.0
185.0,187.101,186.0505,2.314673,3.375,2.101,1,5.0
