elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
5.1155,4.60401,4.625
25.565687,3.606369,3.32515
30.309687,3.763408,3.469905
36.47975,3.704817,3.305859
55.239937,3.527205,3.414243
65.092312,3.693402,3.540743
71.740312,3.754767,3.652802
87.990437,3.578714,3.462987
89.913187,3.60235,3.493182
103.143312,3.537719,3.429922
109.431437,3.589604,3.484228
114.396,3.644118,3.517461
128.296125,3.580559,3.380139
134.897687,3.636914,3.398239
149.142875,3.555528,3.276627
155.465812,3.6027,3.326383
166.846,3.569646,3.304121
173.601062,3.572279,3.28256
180.5045,3.61758,3.329121
