block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,3.431892,3.0,5.0,1,5.0
5.0,10.0,7.5,3.45196,3.0,5.0,1,5.0
10.0,15.0,12.5,3.129219,3.0,5.0,1,5.0
15.0,20.0,17.5,2.869968,3.0,5.0,1,5.0
20.0,25.0,22.5,4.443232,4.251198,5.0,2,5.0
25.0,30.0,27.5,4.329122,4.42073,5.0,2,5.0
30.0,35.0,32.5,4.189859,4.5,5.0,1,5.0
35.0,40.0,37.5,3.098603,2.954166,5.0,2,5.0
40.0,45.0,42.5,2.986949,2.25,5.0,1,5.0
45.0,50.0,47.5,3.334946,2.25,5.0,1,5.0
50.0,55.0,52.5,3.943321,4.064025,5.0,2,5.0
55.0,60.0,57.5,4.025879,4.25,5.0,2,5.0
60.0,65.0,62.5,4.281344,4.091891,5.0,2,5.0
65.0,70.0,67.5,3.426272,2.745686,5.0,2,5.0
70.0,75.0,72.5,3.739272,3.66365,5.0,2,5.0
75.0,80.0,77.5,3.966266,2.985125,5.0,2,5.0
80.0,85.0,82.5,2.563042,2.125,5.0,1,5.0
85.0,90.0,87.5,2.576851,2.125,5.0,1,5.0
90.0,95.0,92.5,3.702261,2.62932,5.0,2,5.0
95.0,100.0,97.5,2.604445,2.693013,5.0,2,5.0
100.0,105.0,102.5,3.294984,2.625,5.0,1,5.0
105.0,110.0,107.5,3.474843,2.625,5.0,1,5.0
110.0,115.0,112.5,3.135607,3.088219,5.0,2,5.0
115.0,120.0,117.5,4.301299,4.875,5.0,1,5.0
120.0,125.0,122.5,4.218235,4.573172,5.0,2,5.0
125.0,130.0,127.5,2.958464,3.625,5.0,1,5.0
130.0,135.0,132.5,3.072445,3.625,5.0,1,5.0
135.0,140.0,137.5,3.417762,3.625,5.0,1,5.0
140.0,145.0,142.5,3.529772,3.992069,5.0,2,5.0
145.0,150.0,147.5,4.349423,4.375,5.0,1,5.0
150.0,155.0,152.5,4.222977,4.375,5.0,2,5.0
155.0,160.0,157.5,2.944612,3.258259,5.0,2,5.0
160.0,165.0,162.5,3.329598,3.0,5.0,1,5.0
165.0,170.0,167.5,3.254094,3.0,5.0,2,5.0
170.0,175.0,172.5,3.176201,3.0,5.0,1,5.0
175.0,180.0,177.5,3.206251,3.0,5.0,1,5.0
180.0,180.549438,180.274719,3.077,3.0,0.549437,1,5.0
