elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
9.65,4.051651,2.666667
16.89,4.140242,2.595224
26.47,4.069314,2.845126
31.62,4.056386,2.87035
39.33,4.024135,2.915369
48.57,4.006861,2.93147
60.03,3.983784,2.868191
66.47,3.985245,2.800223
71.93,3.997803,2.792615
77.43,3.961041,2.77183
84.36,3.962333,2.824802
90.16,3.962265,2.857516
100.07,3.956114,2.829185
109.79,3.951605,2.796017
114.99,3.945593,2.787848
121.49,3.950772,2.772448
125.04,3.947442,2.770797
126.48,3.940926,2.781945
132.98,3.933429,2.765942
135.62,3.929957,2.748599
146.24,3.938242,2.742649
148.67,3.942891,2.740045
152.1,3.939572,2.73839
154.9,3.937184,2.736546
159.65,3.935788,2.741679
167.84,3.944361,2.721754
171.14,3.926858,2.725366
175.92,3.926137,2.734918
179.11,3.92633,2.734782
186.8,3.929118,2.756928
