block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,3.390132,3.355556,5.0,2,5.0
5.0,10.0,7.5,3.993569,3.941111,5.0,2,5.0
10.0,15.0,12.5,3.937139,3.5452,5.0,2,5.0
15.0,20.0,17.5,3.891871,3.1,5.0,1,5.0
20.0,25.0,22.5,4.030879,2.723,5.0,2,5.0
25.0,30.0,27.5,4.051651,2.666667,5.0,1,5.0
30.0,35.0,32.5,4.334314,3.441206,5.0,3,5.0
35.0,40.0,37.5,3.900152,2.571429,5.0,1,5.0
40.0,45.0,42.5,3.875277,2.545714,5.0,2,5.0
45.0,50.0,47.5,3.589213,2.25,5.0,1,5.0
50.0,55.0,52.5,3.984488,2.5668,5.0,2,5.0
55.0,60.0,57.5,3.933456,2.6796,5.0,2,5.0
60.0,65.0,62.5,4.137182,3.438333,5.0,2,5.0
65.0,70.0,67.5,4.092696,3.003333,5.0,2,5.0
70.0,75.0,72.5,4.044044,2.666667,5.0,1,5.0
75.0,80.0,77.5,3.922982,2.566545,5.0,2,5.0
80.0,85.0,82.5,3.820101,2.62003,5.0,2,5.0
85.0,90.0,87.5,3.97677,3.416667,5.0,1,5.0
90.0,95.0,92.5,3.887822,3.875167,5.0,2,5.0
95.0,100.0,97.5,3.863605,4.0,5.0,1,5.0
100.0,105.0,102.5,4.050125,3.637,5.0,2,5.0
105.0,110.0,107.5,4.053179,3.399692,5.0,3,5.0
110.0,115.0,112.5,3.879958,3.503312,5.0,3,5.0
115.0,120.0,117.5,4.106107,3.914206,5.0,2,5.0
120.0,125.0,122.5,4.344351,4.227378,5.0,2,5.0
125.0,130.0,127.5,3.988241,2.953333,5.0,2,5.0
130.0,135.0,132.5,3.885978,2.6,5.0,1,5.0
135.0,140.0,137.5,3.906577,3.349511,5.0,2,5.0
140.0,145.0,142.5,3.925104,3.623405,5.0,3,5.0
145.0,150.0,147.5,3.867309,2.83039,5.0,2,5.0
150.0,155.0,152.5,3.843994,2.719357,5.0,2,5.0
155.0,160.0,157.5,4.129323,3.179007,5.0,2,5.0
160.0,165.0,162.5,4.331316,3.545455,5.0,1,5.0
165.0,170.0,167.5,4.041801,3.351169,5.0,2,5.0
170.0,175.0,172.5,3.944265,3.285714,5.0,1,5.0
175.0,180.0,177.5,4.25817,3.432,5.0,2,5.0
180.0,182.94,181.47,4.321555,3.461538,2.94,1,5.0
