elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
9.09,3.954484,4.0
16.33,4.096365,3.334966
19.81,4.121697,3.439244
24.96,4.141708,3.348615
31.61,4.187584,3.380463
40.85,4.164913,3.294405
43.18,4.170098,3.326483
49.62,4.152805,3.175955
54.01,4.166209,3.206809
59.51,4.093233,3.141485
65.89,4.110137,3.188303
71.69,4.130991,3.200036
78.48,4.130157,3.256888
88.2,4.122058,3.168467
90.59,4.131088,3.178679
97.09,4.122919,3.133243
99.68,4.123689,3.158126
101.12,4.12502,3.166555
106.66,4.145024,3.223695
109.3,4.144868,3.191119
113.7,4.150857,3.226721
116.13,4.156972,3.213259
125.42,4.150788,3.237865
128.22,4.144372,3.22473
135.32,4.156549,3.237154
143.51,4.159067,3.185574
145.06,4.158769,3.193386
149.84,4.160466,3.189671
152.69,4.164231,3.208944
160.38,4.17035,3.212002
164.03,4.166305,3.214702
169.76,4.1585,3.220956
172.91,4.145981,3.229683
174.4,4.148888,3.224304
177.18,4.151075,3.230198
180.72,4.152497,3.215895
