elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
9.09,3.388291,4.0
15.64,3.421104,3.771565
19.12,3.596836,3.800141
23.37,3.423554,3.791023
30.02,3.64567,3.726556
33.16,3.53001,3.726624
35.49,3.595116,3.737277
37.79,3.603749,3.708634
42.18,3.693282,3.692702
44.02,3.702623,3.676287
50.4,3.783465,3.669795
55.14,3.783733,3.612217
61.93,3.727855,3.639071
67.83,3.746645,3.626974
70.22,3.776994,3.624544
71.91,3.764775,3.613481
74.5,3.779101,3.630079
76.29,3.769684,3.617642
81.83,3.824647,3.661582
84.67,3.775983,3.610641
89.07,3.799536,3.635364
91.66,3.808855,3.622548
100.95,3.743263,3.615453
103.04,3.737034,3.623253
110.14,3.772532,3.612829
112.08,3.773023,3.60049
113.63,3.779466,3.604803
115.48,3.782668,3.604973
118.33,3.794986,3.619839
124.43,3.746346,3.612079
128.08,3.715406,3.604135
131.46,3.720042,3.582174
134.61,3.713507,3.584931
140.51,3.689103,3.567369
143.29,3.699646,3.568002
146.58,3.709205,3.567496
148.27,3.717617,3.56754
151.76,3.729234,3.573304
153.51,3.735301,3.571519
157.1,3.731731,3.575597
160.85,3.742548,3.576166
165.05,3.744681,3.553022
167.14,3.756369,3.558612
170.07,3.752946,3.547552
172.87,3.764101,3.548402
176.82,3.767372,3.546461
179.66,3.77417,3.539404
182.2,3.771026,3.521041
