train_id,23
sys_a,061
sys_b,124
target_seconds,180.0
block_seconds,5.0
start_index,0
list_path,/net/db/somos/training_files/split1/clean/test_mos_list.txt
wav_root,/net/db/somos/audios

utt,mos_target,path,dur_s
LJ027-0063_061.wav,2.6666666666666665,/net/db/somos/audios/LJ027-0063_061.wav,9.65
LJ003-0304_124.wav,2.5,/net/db/somos/audios/LJ003-0304_124.wav,7.24
LJ028-0120_061.wav,3.2857142857142856,/net/db/somos/audios/LJ028-0120_061.wav,9.58
LJ005-0036_124.wav,3.0,/net/db/somos/audios/LJ005-0036_124.wav,5.15
LJ028-0146_061.wav,3.1,/net/db/somos/audios/LJ028-0146_061.wav,7.71
LJ008-0284_124.wav,3.0,/net/db/somos/audios/LJ008-0284_124.wav,9.24
LJ031-0188_061.wav,2.6,/net/db/somos/audios/LJ031-0188_061.wav,11.46
LJ010-0259_124.wav,2.1666666666666665,/net/db/somos/audios/LJ010-0259_124.wav,6.44
booksent_2012_0061_061.wav,2.7,/net/db/somos/audios/booksent_2012_0061_061.wav,5.46
LJ044-0111_124.wav,2.5,/net/db/somos/audios/LJ044-0111_124.wav,5.5
booksent_2013_0006_061.wav,3.4166666666666665,/net/db/somos/audios/booksent_2013_0006_061.wav,6.93
LJ045-0190_124.wav,3.3333333333333335,/net/db/somos/audios/LJ045-0190_124.wav,5.8
booksent_2013_0091_061.wav,2.5714285714285716,/net/db/somos/audios/booksent_2013_0091_061.wav,9.91
booksent_2013_0073_124.wav,2.4545454545454546,/net/db/somos/audios/booksent_2013_0073_124.wav,9.72
conv_2007_0038_061.wav,2.6153846153846154,/net/db/somos/audios/conv_2007_0038_061.wav,5.2
booksent_2013_0085_124.wav,2.5,/net/db/somos/audios/booksent_2013_0085_124.wav,6.5
conv_2007_0044_061.wav,2.7142857142857144,/net/db/somos/audios/conv_2007_0044_061.wav,3.55
broadcast_2010_0004_124.wav,3.75,/net/db/somos/audios/broadcast_2010_0004_124.wav,1.44
conv_2007_0055_061.wav,2.4545454545454546,/net/db/somos/audios/conv_2007_0055_061.wav,6.5
broadcast_2010_0008_124.wav,1.875,/net/db/somos/audios/broadcast_2010_0008_124.wav,2.64
conv_2007_0057_061.wav,2.6666666666666665,/net/db/somos/audios/conv_2007_0057_061.wav,10.62
broadcast_2010_0022_124.wav,2.5833333333333335,/net/db/somos/audios/broadcast_2010_0022_124.wav,2.43
conv_2008_0008_061.wav,2.6666666666666665,/net/db/somos/audios/conv_2008_0008_061.wav,3.43
broadcast_2010_0033_124.wav,2.6363636363636362,/net/db/somos/audios/broadcast_2010_0033_124.wav,2.8
conv_2008_0038_061.wav,2.909090909090909,/net/db/somos/audios/conv_2008_0038_061.wav,4.75
conv_2007_0013_124.wav,2.3333333333333335,/net/db/somos/audios/conv_2007_0013_124.wav,8.19
conv_2008_0067_061.wav,2.909090909090909,/net/db/somos/audios/conv_2008_0067_061.wav,3.3
conv_2007_0041_124.wav,3.076923076923077,/net/db/somos/audios/conv_2007_0041_124.wav,4.78
conv_2008_0078_061.wav,2.727272727272727,/net/db/somos/audios/conv_2008_0078_061.wav,3.19
conv_2007_0042_124.wav,3.272727272727273,/net/db/somos/audios/conv_2007_0042_124.wav,7.69
