block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,4.24542,2.666667,5.0,1,5.0
5.0,10.0,7.5,4.24542,2.666667,5.0,1,5.0
10.0,15.0,12.5,3.977352,3.339376,5.0,3,5.0
15.0,20.0,17.5,3.837854,2.737879,5.0,3,5.0
20.0,25.0,22.5,4.121241,2.581091,5.0,2,5.0
25.0,30.0,27.5,4.012302,2.789773,5.0,2,5.0
30.0,35.0,32.5,4.017336,3.210455,5.0,2,5.0
35.0,40.0,37.5,3.977657,3.049982,5.0,2,5.0
40.0,45.0,42.5,3.846306,2.9124,5.0,2,5.0
45.0,50.0,47.5,3.705288,2.995143,5.0,2,5.0
50.0,55.0,52.5,3.955061,3.126667,5.0,2,5.0
55.0,60.0,57.5,3.968843,2.666667,5.0,1,5.0
60.0,65.0,62.5,3.747231,3.318872,5.0,3,5.0
65.0,70.0,67.5,3.779833,2.618654,5.0,2,5.0
70.0,75.0,72.5,3.817219,2.663,5.0,2,5.0
75.0,80.0,77.5,4.020098,3.416667,5.0,1,5.0
80.0,85.0,82.5,4.069872,2.598476,5.0,2,5.0
85.0,90.0,87.5,4.071517,2.571429,5.0,1,5.0
90.0,95.0,92.5,3.921159,2.908182,5.0,3,5.0
95.0,100.0,97.5,3.449171,2.851333,5.0,2,5.0
100.0,105.0,102.5,3.266125,3.054476,5.0,2,5.0
105.0,110.0,107.5,3.617033,3.2715,5.0,2,5.0
110.0,115.0,112.5,3.759228,3.280914,5.0,3,5.0
115.0,120.0,117.5,3.902203,3.285714,5.0,1,5.0
120.0,125.0,122.5,3.89971,3.08,5.0,2,5.0
125.0,130.0,127.5,4.14768,2.769667,5.0,2,5.0
130.0,135.0,132.5,4.204168,2.800444,5.0,2,5.0
135.0,140.0,137.5,3.717896,3.112,5.0,2,5.0
140.0,145.0,142.5,3.524499,3.461394,5.0,3,5.0
145.0,150.0,147.5,3.406187,3.130545,5.0,2,5.0
150.0,155.0,152.5,3.506248,3.372509,5.0,2,5.0
155.0,160.0,157.5,3.87921,2.6,5.0,1,5.0
160.0,165.0,162.5,3.87921,2.6,5.0,1,5.0
165.0,170.0,167.5,3.724439,3.292677,5.0,2,5.0
170.0,175.0,172.5,3.596469,3.1702,5.0,3,5.0
175.0,180.0,177.5,3.911231,2.7924,5.0,2,5.0
180.0,181.07,180.535,3.916752,3.3,1.07,1,5.0
