elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
5.41,2.934441,3.9
8.95,3.494723,3.346257
12.02,3.691171,3.443571
13.51,3.759354,3.350535
18.96,3.823019,3.369544
24.69,3.637561,3.376612
27.29,3.686772,3.451883
34.98,3.811899,3.412498
41.0,3.693721,3.318047
45.78,3.753002,3.292871
50.76,3.77708,3.234705
58.95,3.832512,3.109476
61.27,3.840728,3.091132
64.07,3.840533,3.071257
67.94,3.871348,3.067198
70.37,3.894064,3.05049
72.25,3.892557,3.060327
74.89,3.90849,3.018543
81.41,3.881032,3.053461
82.85,3.884925,3.065568
84.96,3.881373,3.082566
91.46,3.824185,3.041163
97.47,3.866739,3.044791
107.19,3.832243,2.991268
110.74,3.840909,2.994014
116.54,3.865399,3.010901
123.11,3.80469,3.043673
128.61,3.759766,3.020423
130.75,3.768029,3.029017
137.19,3.787591,2.988536
142.55,3.761865,3.012106
151.79,3.781221,3.011369
159.32,3.75118,3.006535
164.47,3.770514,3.00633
170.39,3.739571,3.015586
177.63,3.761088,2.994571
184.24,3.757227,3.021674
