seconds,mos_pred_concat,mos_target_concat_durw
6.52,3.67631,3.454545
16.43,3.954056,2.92188
27.05,4.007678,2.821682
30.48,4.007544,2.804238
32.36,3.972945,2.840509
37.34,3.904997,2.82177
42.8,3.885663,2.806235
49.37,3.858801,2.915194
55.98,3.814263,3.013766
67.44,3.834265,2.943455
73.36,3.810965,2.970027
75.68,3.800477,2.95945
79.23,3.783068,2.964713
85.24,3.804217,2.974252
92.77,3.803386,2.968963
102.42,3.791791,2.940481
110.13,3.792393,2.951648
115.33,3.788954,2.936487
122.26,3.786816,2.963705
129.14,3.785329,2.925682
132.69,3.783623,2.920026
134.83,3.789814,2.929953
138.02,3.788186,2.925268
140.62,3.793708,2.948221
144.49,3.794586,2.949608
146.6,3.790902,2.961128
149.9,3.776911,2.959982
159.48,3.776318,2.979549
165.5,3.722677,2.971899
172.0,3.69995,2.952348
176.75,3.711746,2.951185
182.11,3.689355,2.970734
