seconds,mos_pred_concat,mos_target_concat_durw
8.13,3.455172,3.7
9.82,3.592392,3.677873
15.23,3.737956,3.756777
18.01,3.783587,3.732577
21.08,3.855052,3.731805
24.23,3.815484,3.72767
29.68,3.785704,3.670562
33.33,3.80248,3.633632
35.93,3.827712,3.672204
38.78,3.836701,3.712625
44.8,3.76132,3.585857
46.35,3.750973,3.596919
51.33,3.743399,3.509901
58.43,3.776982,3.504024
60.75,3.789398,3.470455
70.04,3.824334,3.480403
73.91,3.835165,3.455248
78.31,3.815368,3.492099
80.19,3.814176,3.49061
85.73,3.825423,3.54076
92.25,3.811546,3.534666
94.84,3.810894,3.549857
96.95,3.807284,3.554213
99.34,3.808719,3.554245
105.35,3.823359,3.528331
112.14,3.831102,3.548241
115.69,3.81602,3.533778
122.07,3.832865,3.538546
128.64,3.82704,3.542961
133.03,3.831127,3.543377
135.17,3.833624,3.54341
137.5,3.835944,3.549264
142.86,3.845639,3.551745
149.51,3.853563,3.549443
157.04,3.854576,3.518739
160.52,3.849574,3.527624
166.44,3.838811,3.518557
175.53,3.844324,3.543489
182.14,3.830647,3.550984
