elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
3.29,4.080544,3.545455
6.03,4.117216,3.695198
11.93,3.89207,3.433812
19.96,3.995852,3.169886
23.34,3.951661,3.10908
30.22,3.905629,2.913499
36.32,3.915839,3.005543
39.51,3.928084,2.983076
41.36,3.912988,3.011358
44.66,3.8799,3.003802
46.6,3.864576,2.99948
51.35,3.88311,2.991119
53.44,3.869532,3.030576
56.87,3.874634,3.008627
59.46,3.881618,3.016171
70.08,3.925305,2.963207
72.92,3.91447,2.931257
79.42,3.919474,2.892241
81.21,3.907459,2.896821
84.76,3.916405,2.889175
86.45,3.908734,2.894349
91.65,3.919057,2.878522
97.55,3.913291,2.91611
107.46,3.931991,2.884323
112.2,3.935909,2.88921
119.13,3.940164,2.919893
120.97,3.938665,2.925675
126.43,3.945442,2.915929
128.73,3.940149,2.922195
140.19,3.950429,2.895857
143.33,3.949421,2.914071
151.04,3.960193,2.923562
155.29,3.959043,2.94618
164.87,3.967518,2.965909
171.42,3.950929,2.98458
181.07,3.961404,2.967637
