elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
7.69,4.187471,3.272727
14.13,4.156209,2.76862
15.57,4.155682,2.859384
19.44,4.195551,2.887377
26.68,4.203399,2.782257
29.28,4.184229,2.905189
35.3,4.078405,2.882003
41.31,4.135916,2.913718
43.95,4.135548,2.851324
45.83,4.123703,2.875004
52.44,4.062387,2.985296
57.22,4.077039,2.99295
62.95,4.039313,3.030002
67.93,4.005193,3.005809
74.5,3.989517,3.060414
79.91,3.969537,3.117255
87.44,3.937329,3.099329
89.87,3.9511,3.085377
93.42,3.945102,3.085056
95.53,3.945173,3.099742
97.85,3.94312,3.088486
100.92,3.953559,3.107918
110.64,3.955931,3.050518
116.44,3.968938,3.064605
121.89,3.95567,3.080347
124.69,3.959676,3.070377
131.21,3.946445,3.089467
139.4,3.971307,3.045043
144.9,3.949749,3.024354
146.39,3.950898,3.020035
148.53,3.955317,3.027605
154.45,3.958512,3.037001
159.6,3.969243,3.035807
163.14,3.972025,3.02418
168.5,3.973172,3.042986
175.0,3.965797,3.022818
184.24,3.965375,3.021674
