block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,5.0,2.5,4.360126,3.272727,5.0,1,5.0
5.0,10.0,7.5,3.870154,3.020727,5.0,2,5.0
10.0,15.0,12.5,3.88963,3.015385,5.0,2,5.0
15.0,20.0,17.5,3.501844,2.811487,5.0,3,5.0
20.0,25.0,22.5,4.354566,2.333333,5.0,1,5.0
25.0,30.0,27.5,4.270868,2.661515,5.0,2,5.0
30.0,35.0,32.5,3.396218,2.741818,5.0,3,5.0
35.0,40.0,37.5,3.814548,2.6355,5.0,2,5.0
40.0,45.0,42.5,4.269484,2.657333,5.0,2,5.0
45.0,50.0,47.5,3.947965,2.666667,5.0,1,5.0
50.0,55.0,52.5,4.104973,2.198606,5.0,3,5.0
55.0,60.0,57.5,3.829822,2.454545,5.0,1,5.0
60.0,65.0,62.5,4.039258,2.995948,5.0,3,5.0
65.0,70.0,67.5,4.121355,2.513286,5.0,2,5.0
70.0,75.0,72.5,3.728089,2.573615,5.0,2,5.0
75.0,80.0,77.5,3.95319,2.519203,5.0,2,5.0
80.0,85.0,82.5,4.280012,2.454545,5.0,1,5.0
85.0,90.0,87.5,4.000071,2.530987,5.0,2,5.0
90.0,95.0,92.5,4.005757,2.571429,5.0,1,5.0
95.0,100.0,97.5,4.246651,3.083429,5.0,2,5.0
100.0,105.0,102.5,4.161199,3.376,5.0,2,5.0
105.0,110.0,107.5,3.943222,3.301167,5.0,2,5.0
110.0,115.0,112.5,3.720071,2.5052,5.0,2,5.0
115.0,120.0,117.5,4.06948,2.7,5.0,1,5.0
120.0,125.0,122.5,3.942345,2.201867,5.0,2,5.0
125.0,130.0,127.5,4.117696,2.4466,5.0,2,5.0
130.0,135.0,132.5,3.855829,2.6,5.0,1,5.0
135.0,140.0,137.5,4.222739,2.7416,5.0,2,5.0
140.0,145.0,142.5,3.933316,3.0,5.0,1,5.0
145.0,150.0,147.5,4.169158,3.0506,5.0,2,5.0
150.0,155.0,152.5,4.274909,3.1,5.0,1,5.0
155.0,160.0,157.5,4.287287,3.0036,5.0,2,5.0
160.0,165.0,162.5,3.919644,3.266857,5.0,2,5.0
165.0,170.0,167.5,4.290775,3.271571,5.0,2,5.0
170.0,175.0,172.5,4.438406,2.5,5.0,1,5.0
175.0,180.0,177.5,4.092349,2.595,5.0,2,5.0
180.0,185.0,182.5,4.192079,2.666667,5.0,1,5.0
185.0,186.8,185.9,4.135397,2.666667,1.8,1,5.0
